userid,timestamp,Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
130,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists, Others",3,Once a week,Lifestyle and Health,Conversational,Well known individuals,Shorter,Satisfied
131,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,None,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Rarely,Health and Fitness,Conversational,Both,Shorter,Ok
132,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",recommendations,3,Never,None,None,None,None,Ok
133,2023-07-01,20-35,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,None,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,4,Never,None,None,None,None,Ok
134,2023-07-01,20-35,Female,Less than 6 months,Wearable devices,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,leisure time,"recommendations, Others",3,Never,None,None,None,None,Ok
135,2023-07-01,20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5,Never,None,None,None,None,Ok
136,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Podcast,Rap,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session","recommendations, Playlists",5,Several times a week,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied
137,2023-07-01,35-60,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Uplifting and motivational,"While Traveling, Workout session, leisure time",Playlists,4,Never,None,None,None,None,Ok
138,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,4,Rarely,Food and cooking,Interview,Well known individuals,Shorter,Very Satisfied
139,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,None,Music,Rock,Night,Relaxation and stress relief,leisure time,Playlists,3,Never,None,None,None,None,Ok
140,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied
142,2023-07-01,35-60,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Podcast,classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Several times a week,Lifestyle and Health,Conversational,Well known individuals,Shorter,Satisfied
143,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Podcast,Melody,Night,Relaxation and stress relief,leisure time,"Radio, Others",4,Rarely,Lifestyle and Health,Educational,Both,Both,Satisfied
145,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,"Workout session, leisure time",recommendations,3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok
146,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,Comedy,Interview,Both,Shorter,Satisfied
148,2023-07-01,20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Playlists",5,Never,None,None,None,None,Ok
149,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,Others,4,Rarely,Sports,Educational,unknown Podcasters,Both,Ok
150,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Playlists,5,Several times a week,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied
151,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
152,2023-07-01,20-35,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Melody,Night,Uplifting and motivational,Workout session,Radio,3,Rarely,Food and cooking,Educational,Well known individuals,Both,Satisfied
153,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Morning,Relaxation and stress relief,While Traveling,"recommendations, Playlists",5,Never,None,None,None,None,Ok
154,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,4,Rarely,Food and cooking,Conversational,Both,Shorter,Ok
156,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Comedy,Conversational,Both,Shorter,Ok
158,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,classical,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,Sports,None,Well known individuals,Shorter,Ok
159,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
160,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session",Playlists,3,Daily,Lifestyle and Health,Story telling,Well known individuals,Shorter,Very Satisfied
161,2023-07-01,20-35,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling","Radio, Others",4,Several times a week,Sports,Educational,Both,Longer,Satisfied
163,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Morning,Uplifting and motivational,"While Traveling, Workout session","recommendations, Playlists",4,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok
164,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok
165,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,5,Several times a week,Comedy,Interview,Well known individuals,Shorter,Very Satisfied
166,2023-07-01,12-20,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Morning,Sadness or melancholy,While Traveling,Radio,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied
169,2023-07-01,12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Uplifting and motivational,While Traveling,Radio,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
170,2023-07-01,12-20,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Sadness or melancholy,"While Traveling, leisure time",recommendations,3,Once a week,Lifestyle and Health,Educational,Both,Both,Satisfied
171,2023-07-01,20-35,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),No,None,Podcast,classical,Morning,Uplifting and motivational,While Traveling,"Radio, Others",2,Several times a week,Lifestyle and Health,Story telling,Both,Shorter,Ok
172,2023-07-01,20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,None,Podcast,classical,Morning,Uplifting and motivational,Workout session,Radio,2,Several times a week,Food and cooking,Story telling,unknown Podcasters,Longer,Ok
175,2023-07-01,20-35,Female,More than 2 years,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,classical,Morning,Uplifting and motivational,Workout session,Radio,2,Once a week,Health and Fitness,Interview,unknown Podcasters,Both,Ok
176,2023-07-01,35-60,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),No,None,Podcast,Melody,Morning,Sadness or melancholy,Workout session,Radio,3,Once a week,Health and Fitness,Interview,unknown Podcasters,Both,Dissatisfied
177,2023-07-01,12-20,Male,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Rap,Morning,Relaxation and stress relief,"While Traveling, Workout session","Playlists, Radio",3,Several times a week,Food and cooking,Interview,unknown Podcasters,Longer,Ok
179,2023-07-01,20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,classical,Afternoon,"Uplifting and motivational, Sadness or melancholy","Study Hours, Workout session","Playlists, Radio",2,Once a week,Sports,Story telling,Both,Longer,Ok
180,2023-07-01,20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Relaxation and stress relief,While Traveling,"Radio, Others",3,Once a week,Health and Fitness,Interview,unknown Podcasters,Longer,Ok
181,2023-07-01,35-60,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,classical,Afternoon,Uplifting and motivational,"Study Hours, Workout session",Radio,2,Rarely,Health and Fitness,Interview,unknown Podcasters,Longer,Ok
182,2023-07-01,20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,classical,Morning,Uplifting and motivational,While Traveling,Playlists,3,Once a week,Health and Fitness,Educational,Both,Both,Ok
183,2023-07-01,12-20,Female,6 months to 1 year,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,None,Podcast,classical,Morning,"Uplifting and motivational, Sadness or melancholy",Workout session,Others,4,Rarely,Sports,Story telling,Both,Longer,Dissatisfied
185,2023-07-01,20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),No,None,Podcast,Rap,Morning,Uplifting and motivational,While Traveling,Playlists,2,Several times a week,Lifestyle and Health,Conversational,Both,Both,Dissatisfied
186,2023-07-01,20-35,Others,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,None,Podcast,classical,Morning,Social gatherings or parties,While Traveling,recommendations,2,Once a week,Lifestyle and Health,Interview,Well known individuals,Both,Very Satisfied
188,2023-07-01,12-20,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,2,Never,None,None,None,None,Ok
189,2023-07-01,35-60,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Uplifting and motivational,While Traveling,Playlists,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
190,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,"Playlists, Radio",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
191,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,trending songs random,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Never,None,None,None,None,Ok
192,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",recommendations,4,Several times a week,Health and Fitness,Conversational,Well known individuals,Both,Satisfied
193,2023-07-01,35-60,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,leisure time,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Shorter,Ok
194,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",While Traveling,"recommendations, Playlists",5,Several times a week,Comedy,Conversational,Both,Shorter,Ok
195,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Never,None,None,None,None,Ok
197,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Shorter,Satisfied
198,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Ok
199,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Night,Uplifting and motivational,"While Traveling, leisure time","Playlists, Radio",4,Never,None,None,None,None,Ok
200,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Rarely,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied
201,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Playlists",1,Never,None,None,None,None,Ok
202,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, Study Hours, While Traveling, leisure time","recommendations, Playlists",3,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok
203,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Never,None,None,None,None,Ok
205,2023-07-01,20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,classical,Morning,Relaxation and stress relief,"Study Hours, While Traveling, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
206,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3,Rarely,Comedy,Interview,Well known individuals,Shorter,Ok
207,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session","recommendations, Playlists",4,Never,None,None,None,None,Ok
208,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,5,Daily,Comedy,Conversational,Well known individuals,Both,Very Satisfied
209,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Rarely,Lifestyle and Health,Story telling,Both,Both,Satisfied
210,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,5,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Ok
211,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Once a week,Health and Fitness,Interview,Well known individuals,Shorter,Satisfied
212,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,"recommendations, Playlists",4,Never,None,None,None,None,Ok
213,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Never,None,None,None,None,Ok
214,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,"Study Hours, While Traveling",Playlists,5,Rarely,Comedy,Story telling,Both,Shorter,Very Satisfied
215,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session",Playlists,5,Never,None,None,Both,None,Dissatisfied
216,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,classical,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",Playlists,5,Never,None,None,None,None,Satisfied
217,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Never,None,None,None,None,Ok
218,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Others,4,Never,None,None,None,None,Ok
219,2023-07-01,20-35,Female,More than 2 years,Computer or laptop,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,5,Rarely,Lifestyle and Health,Interview,Well known individuals,Shorter,Satisfied
221,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Rock,Night,Relaxation and stress relief,leisure time,recommendations,2,Rarely,Comedy,Conversational,Well known individuals,Both,Ok
222,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, leisure time",recommendations,5,Several times a week,Lifestyle and Health,Conversational,Both,Shorter,Ok
223,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,Workout session,Others,2,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Dissatisfied
224,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,Melody,Afternoon,Relaxation and stress relief,leisure time,recommendations,5,Once a week,Health and Fitness,Conversational,Both,Shorter,Satisfied
225,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,Food and cooking,None,None,None,Ok
226,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",5,Never,None,None,None,None,Ok
227,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,3,Daily,None,Educational,unknown Podcasters,Shorter,Ok
228,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Family Plan-Rs 179/month,Music,Rap,Afternoon,"Relaxation and stress relief, Uplifting and motivational",While Traveling,Others,4,Daily,None,Story telling,unknown Podcasters,Longer,Satisfied
229,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Morning,Relaxation and stress relief,"Office hours, Workout session",Others,3,Never,None,None,None,None,Very Dissatisfied
230,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,4,Never,None,None,None,None,Ok
231,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,Workout session,recommendations,4,Daily,Sports,None,Both,Shorter,Satisfied
232,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Morning,"Relaxation and stress relief, Sadness or melancholy",While Traveling,Playlists,4,Rarely,None,Interview,Well known individuals,Longer,Satisfied
233,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy",While Traveling,Playlists,5,Once a week,Comedy,Story telling,Both,Both,Very Satisfied
234,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,"Study Hours, While Traveling, leisure time","recommendations, Playlists",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
236,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,classical,Night,Uplifting and motivational,"While Traveling, Workout session",recommendations,4,Several times a week,Comedy,Story telling,Both,Shorter,Satisfied
237,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Several times a week,Health and Fitness,Story telling,Well known individuals,Shorter,Very Satisfied
238,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Sadness or melancholy,leisure time,Playlists,2,Never,None,None,Well known individuals,Shorter,Satisfied
239,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,All,Night,Uplifting and motivational,leisure time,"recommendations, Playlists",5,Once a week,Dance and Relevant cases,Conversational,unknown Podcasters,Shorter,Satisfied
240,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation and stress relief,Workout session,Playlists,5,Once a week,Comedy,Interview,Well known individuals,Shorter,Ok
241,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, Workout session",Others,5,Never,None,Conversational,Well known individuals,Shorter,Ok
242,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4,Never,Comedy,Story telling,Well known individuals,Shorter,Ok
243,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
245,2023-07-01,12-20,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,classical,Night,Social gatherings or parties,leisure time,Playlists,3,Never,None,None,None,None,Very Dissatisfied
246,2023-07-01,12-20,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,classical,Night,Social gatherings or parties,leisure time,"recommendations, Others",3,Never,None,None,None,None,Very Dissatisfied
248,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation and stress relief,Study Hours,Playlists,5,Rarely,Comedy,Story telling,Both,Both,Satisfied
249,2023-07-01,20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,"Office hours, Workout session",recommendations,5,Several times a week,Sports,None,Both,Both,Very Satisfied
251,2023-07-01,20-35,Female,Less than 6 months,Wearable devices,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,3,Never,None,None,None,None,Ok
252,2023-07-01,20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Health and Fitness,Conversational,Well known individuals,Shorter,Satisfied
253,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists, Others",3,Once a week,General knowledge,Story telling,Both,Both,Satisfied
254,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","Playlists, Radio",3,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok
255,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,All,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",Random,"recommendations, Others",5,Rarely,None,None,None,None,Ok
256,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Morning,"Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, Workout session",recommendations,3,Never,None,Educational,Both,Shorter,Ok
257,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Morning,Relaxation and stress relief,Workout session,Playlists,4,Rarely,Health and Fitness,Educational,Well known individuals,Longer,Satisfied
258,2023-07-01,20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","Playlists, Others",4,Rarely,None,Story telling,Both,Both,Ok
259,2023-07-01,20-35,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Rap,Morning,Relaxation and stress relief,Office hours,recommendations,4,Never,None,None,None,None,Ok
260,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Pop,Morning,Relaxation and stress relief,While Traveling,Playlists,3,Rarely,Lifestyle and Health,Conversational,unknown Podcasters,Shorter,Ok
