userid,timestamp,Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,Recency,Frequency,Monetary,Monetary_score,Recency_score,RFM_score,Grade
188,2023-07-01,12-20,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,2,Never,,,,,Ok,2023-06-01,1,60000,1,5,511,신규고객
189,2023-07-01,35-60,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Uplifting and motivational,While Traveling,Playlists,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,2023-06-01,1,60000,1,5,511,신규고객
190,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,While Traveling,"Playlists, Radio",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,2023-06-01,2,120000,2,5,522,관심필요고객
191,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,trending songs random,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Never,,,,,Ok,2023-03-01,1,60000,1,2,211,휴면고객
192,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",recommendations,4,Several times a week,Health and Fitness,Conversational,Well known individuals,Both,Satisfied,,0,0,0,0,0,무료회원
193,2023-07-01,35-60,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Morning,Relaxation and stress relief,leisure time,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Shorter,Ok,,0,0,0,0,0,무료회원
194,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",While Traveling,"recommendations, Playlists",5,Several times a week,Comedy,Conversational,Both,Shorter,Ok,2023-03-01,1,60000,1,2,211,휴면고객
195,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Never,,,,,Ok,2023-03-01,1,60000,1,2,211,휴면고객
196,2023-07-01,35-60,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,5,Rarely,Food and cooking,Educational,Well known individuals,Shorter,Satisfied,2023-07-01,5,300000,5,6,655,충성고객
197,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Shorter,Satisfied,2023-05-01,2,120000,2,4,422,관심필요고객
198,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Ok,2023-05-01,1,60000,1,4,411,신규고객
199,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Night,Uplifting and motivational,"While Traveling, leisure time","Playlists, Radio",4,Never,,,,,Ok,2023-05-01,2,120000,2,4,422,관심필요고객
200,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Rarely,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied,2023-06-01,2,120000,2,5,522,관심필요고객
201,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Playlists",1,Never,,,,,Ok,2023-06-01,2,120000,2,5,522,관심필요고객
202,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, Study Hours, While Traveling, leisure time","recommendations, Playlists",3,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok,2023-06-01,2,120000,2,5,522,관심필요고객
203,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Never,,,,,Ok,2023-06-01,2,120000,2,5,522,관심필요고객
204,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Premium (paid subscription),Yes,,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",While Traveling,"recommendations, Playlists",5,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied,2023-07-01,5,300000,5,6,655,충성고객
205,2023-07-01,20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,classical,Morning,Relaxation and stress relief,"Study Hours, While Traveling, leisure time","recommendations, Playlists",4,Never,,,,,Ok,2023-06-01,1,60000,1,5,511,신규고객
206,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3,Rarely,Comedy,Interview,Well known individuals,Shorter,Ok,,0,0,0,0,0,무료회원
207,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session","recommendations, Playlists",4,Never,,,,,Ok,,0,0,0,0,0,무료회원
208,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,5,Daily,Comedy,Conversational,Well known individuals,Both,Very Satisfied,,0,0,0,0,0,무료회원
209,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Rarely,Lifestyle and Health,Story telling,Both,Both,Satisfied,,0,0,0,0,0,무료회원
210,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,5,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Ok,2023-06-01,1,60000,1,5,511,신규고객
211,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Once a week,Health and Fitness,Interview,Well known individuals,Shorter,Satisfied,2023-06-01,2,120000,2,5,522,관심필요고객
212,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,"recommendations, Playlists",4,Never,,,,,Ok,,0,0,0,0,0,무료회원
213,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Never,,,,,Ok,,0,0,0,0,0,무료회원
214,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,"Study Hours, While Traveling",Playlists,5,Rarely,Comedy,Story telling,Both,Shorter,Very Satisfied,,0,0,0,0,0,무료회원
215,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session",Playlists,5,Never,,,Both,,Dissatisfied,2023-03-01,1,60000,1,2,211,휴면고객
216,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,classical,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",Playlists,5,Never,,,,,Satisfied,2023-06-01,1,60000,1,5,511,신규고객
217,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Never,,,,,Ok,2023-05-01,2,120000,2,4,422,관심필요고객
218,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Others,4,Never,,,,,Ok,2023-05-01,2,120000,2,4,422,관심필요고객
219,2023-07-01,20-35,Female,More than 2 years,Computer or laptop,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,5,Rarely,Lifestyle and Health,Interview,Well known individuals,Shorter,Satisfied,2023-05-01,2,120000,2,4,422,관심필요고객
220,2023-07-01,20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,Relaxation and stress relief,While Traveling,"recommendations, Radio",4,Daily,Lifestyle and Health,Educational,Well known individuals,Shorter,Very Satisfied,2023-07-01,5,300000,5,6,655,충성고객
221,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Rock,Night,Relaxation and stress relief,leisure time,recommendations,2,Rarely,Comedy,Conversational,Well known individuals,Both,Ok,2023-06-01,3,180000,3,5,533,잠재충성고객
222,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, leisure time",recommendations,5,Several times a week,Lifestyle and Health,Conversational,Both,Shorter,Ok,2023-05-01,1,60000,1,4,411,신규고객
223,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,Workout session,Others,2,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Dissatisfied,2023-03-01,1,60000,1,2,211,휴면고객
224,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,Melody,Afternoon,Relaxation and stress relief,leisure time,recommendations,5,Once a week,Health and Fitness,Conversational,Both,Shorter,Satisfied,,0,0,0,0,0,무료회원
225,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,Food and cooking,,,,Ok,,0,0,0,0,0,무료회원
226,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",5,Never,,,,,Ok,,0,0,0,0,0,무료회원
227,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,3,Daily,,Educational,unknown Podcasters,Shorter,Ok,,0,0,0,0,0,무료회원
228,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Family Plan-Rs 179/month,Music,Rap,Afternoon,"Relaxation and stress relief, Uplifting and motivational",While Traveling,Others,4,Daily,,Story telling,unknown Podcasters,Longer,Satisfied,2023-06-01,1,60000,1,5,511,신규고객
229,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Morning,Relaxation and stress relief,"Office hours, Workout session",Others,3,Never,,,,,Very Dissatisfied,2023-01-01,1,60000,1,1,111,휴면고객
230,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,4,Never,,,,,Ok,,0,0,0,0,0,무료회원
231,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Morning,Relaxation and stress relief,Workout session,recommendations,4,Daily,Sports,,Both,Shorter,Satisfied,,0,0,0,0,0,무료회원
232,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Morning,"Relaxation and stress relief, Sadness or melancholy",While Traveling,Playlists,4,Rarely,,Interview,Well known individuals,Longer,Satisfied,,0,0,0,0,0,무료회원
233,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy",While Traveling,Playlists,5,Once a week,Comedy,Story telling,Both,Both,Very Satisfied,,0,0,0,0,0,무료회원
234,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,"Study Hours, While Traveling, leisure time","recommendations, Playlists",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,2023-06-01,1,60000,1,5,511,신규고객
235,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Premium (paid subscription),No,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,5,Never,,,,,Very Dissatisfied,2023-07-01,7,420000,7,6,677,충성고객
236,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,classical,Night,Uplifting and motivational,"While Traveling, Workout session",recommendations,4,Several times a week,Comedy,Story telling,Both,Shorter,Satisfied,,0,0,0,0,0,무료회원
237,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Several times a week,Health and Fitness,Story telling,Well known individuals,Shorter,Very Satisfied,,0,0,0,0,0,무료회원
238,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Sadness or melancholy,leisure time,Playlists,2,Never,,,Well known individuals,Shorter,Satisfied,,0,0,0,0,0,무료회원
239,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,All,Night,Uplifting and motivational,leisure time,"recommendations, Playlists",5,Once a week,Dance and Relevant cases,Conversational,unknown Podcasters,Shorter,Satisfied,,0,0,0,0,0,무료회원
240,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Afternoon,Relaxation and stress relief,Workout session,Playlists,5,Once a week,Comedy,Interview,Well known individuals,Shorter,Ok,,0,0,0,0,0,무료회원
241,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, Workout session",Others,5,Never,,Conversational,Well known individuals,Shorter,Ok,2023-06-01,1,60000,1,5,511,신규고객
242,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4,Never,Comedy,Story telling,Well known individuals,Shorter,Ok,,0,0,0,0,0,무료회원
243,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,2023-03-01,1,60000,1,2,211,휴면고객
244,2023-07-01,20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Ok,2023-07-01,6,360000,6,6,666,충성고객
245,2023-07-01,12-20,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,classical,Night,Social gatherings or parties,leisure time,Playlists,3,Never,,,,,Very Dissatisfied,2023-05-01,2,120000,2,4,422,관심필요고객
246,2023-07-01,12-20,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,classical,Night,Social gatherings or parties,leisure time,"recommendations, Others",3,Never,,,,,Very Dissatisfied,2023-05-01,2,120000,2,4,422,관심필요고객
247,2023-07-01,20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Lifestyle and Health,Educational,Both,Shorter,Satisfied,2023-07-01,6,360000,6,6,666,충성고객
248,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation and stress relief,Study Hours,Playlists,5,Rarely,Comedy,Story telling,Both,Both,Satisfied,2023-06-01,2,120000,2,5,522,관심필요고객
249,2023-07-01,20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,"Office hours, Workout session",recommendations,5,Several times a week,Sports,,Both,Both,Very Satisfied,2023-05-01,2,120000,2,4,422,관심필요고객
250,2023-07-01,20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, Study Hours, While Traveling","recommendations, Playlists, Others",3,Rarely,Technology,Educational,Both,Shorter,Ok,2023-07-01,7,420000,7,6,677,충성고객
251,2023-07-01,20-35,Female,Less than 6 months,Wearable devices,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,3,Never,,,,,Ok,,0,0,0,0,0,무료회원
252,2023-07-01,20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Health and Fitness,Conversational,Well known individuals,Shorter,Satisfied,,0,0,0,0,0,무료회원
253,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists, Others",3,Once a week,General knowledge,Story telling,Both,Both,Satisfied,,0,0,0,0,0,무료회원
254,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","Playlists, Radio",3,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok,,0,0,0,0,0,무료회원
255,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,All,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",Random,"recommendations, Others",5,Rarely,,,,,Ok,2023-06-01,2,120000,2,5,522,관심필요고객
256,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Morning,"Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, Workout session",recommendations,3,Never,,Educational,Both,Shorter,Ok,2023-05-01,1,60000,1,4,411,신규고객
257,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Morning,Relaxation and stress relief,Workout session,Playlists,4,Rarely,Health and Fitness,Educational,Well known individuals,Longer,Satisfied,2023-06-01,2,120000,2,5,522,관심필요고객
258,2023-07-01,20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","Playlists, Others",4,Rarely,,Story telling,Both,Both,Ok,2023-06-01,1,60000,1,5,511,신규고객
259,2023-07-01,20-35,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Rap,Morning,Relaxation and stress relief,Office hours,recommendations,4,Never,,,,,Ok,2023-06-01,1,60000,1,5,511,신규고객
260,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Pop,Morning,Relaxation and stress relief,While Traveling,Playlists,3,Rarely,Lifestyle and Health,Conversational,unknown Podcasters,Shorter,Ok,2023-06-01,1,60000,1,5,511,신규고객
261,2023-07-01,12-20,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Others",3,Once a week,Comedy,Conversational,Both,Both,Satisfied,2023-07-01,6,360000,6,6,666,충성고객
262,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists",2,Never,,Story telling,,Shorter,Very Dissatisfied,,0,0,0,0,0,무료회원
263,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Electronic/Dance,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Daily,Sports,Conversational,Both,Both,Very Satisfied,,0,0,0,0,0,무료회원
264,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Pop,Night,Relaxation and stress relief,leisure time,Playlists,5,Once a week,Lifestyle and Health,Interview,Both,Shorter,Dissatisfied,,0,0,0,0,0,무료회원
265,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Kpop,Night,Uplifting and motivational,"Study Hours, Workout session, leisure time",Others,5,Rarely,Spiritual and devotional,Story telling,Both,Shorter,Satisfied,,0,0,0,0,0,무료회원
266,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,"Study Hours, While Traveling",recommendations,5,Several times a week,,,,Both,Satisfied,2023-05-01,1,60000,1,4,411,신규고객
267,2023-07-01,20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,3,Rarely,Comedy,Interview,Well known individuals,Both,Satisfied,2023-03-01,1,60000,1,2,211,휴면고객
268,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, Workout session, leisure time","recommendations, Playlists",3,Rarely,Comedy,Conversational,Both,Shorter,Satisfied,2023-03-01,1,60000,1,2,211,휴면고객
269,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Comedy,Conversational,Both,Shorter,Ok,2023-05-01,2,120000,2,4,422,관심필요고객
270,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Afternoon,Social gatherings or parties,While Traveling,recommendations,4,Rarely,Comedy,Conversational,unknown Podcasters,Shorter,Satisfied,,0,0,0,0,0,무료회원
271,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Playlists,4,Several times a week,Comedy,Story telling,Both,Shorter,Ok,2023-06-01,2,120000,2,5,522,관심필요고객
272,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,3,Never,,,,,Ok,2023-06-01,1,60000,1,5,511,신규고객
273,2023-07-01,20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,classical,Morning,Uplifting and motivational,Workout session,Playlists,1,Several times a week,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied,2023-06-01,1,60000,1,5,511,신규고객
274,2023-07-01,12-20,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Once a week,Sports,Story telling,unknown Podcasters,Both,Ok,2023-07-01,6,360000,6,6,666,충성고객
275,2023-07-01,20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Once a week,Sports,Interview,Well known individuals,Longer,Ok,2023-06-01,2,120000,2,5,522,관심필요고객
276,2023-07-01,12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Sadness or melancholy,Study Hours,Radio,3,Once a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied,,0,0,0,0,0,무료회원
277,2023-07-01,20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,classical,Afternoon,Sadness or melancholy,While Traveling,Playlists,2,Several times a week,Health and Fitness,Interview,unknown Podcasters,Both,Ok,,0,0,0,0,0,무료회원
278,2023-07-01,20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Rap,Morning,Uplifting and motivational,While Traveling,Radio,3,Once a week,Lifestyle and Health,Interview,unknown Podcasters,Longer,Satisfied,,0,0,0,0,0,무료회원
279,2023-07-01,12-20,Female,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,classical,Morning,Uplifting and motivational,Study Hours,Radio,3,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied,2023-07-01,7,420000,7,6,677,충성고객
280,2023-07-01,12-20,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Others,5,Daily,Health and Fitness,Educational,Well known individuals,Shorter,Very Satisfied,,0,0,0,0,0,무료회원
281,2023-07-01,12-20,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Sadness or melancholy,Workout session,Playlists,4,Several times a week,Lifestyle and Health,Interview,Well known individuals,Longer,Satisfied,,0,0,0,0,0,무료회원
